method,seed,epoch,successful_updates,test_accuracy,elapsed_system_s
Memory-Constrained Search,2,46,71898,77.65,244739.52721002867
Memory-Constrained Search,2,47,73461,76.32,249608.20435468468
Memory-Constrained Search,2,48,75024,76.61,254773.86907240757
Memory-Constrained Search,2,49,76587,72.09,261292.3030775229
Memory-Constrained Search,2,50,78150,73.53,266052.88865772734
Memory-Constrained Search,2,51,79713,77.81,270681.4111521254
Memory-Constrained Search,2,52,81276,78.9,276497.5878339703
Memory-Constrained Search,2,53,82839,73.03,282243.2738559441
Memory-Constrained Search,2,54,84402,78.49,287385.9053022785
Memory-Constrained Search,2,55,85965,69.47,292909.23230430455
Memory-Constrained Search,2,56,87528,78.52,298515.8058689524
Memory-Constrained Search,2,57,89091,78.26,303993.34600120934
Memory-Constrained Search,2,58,90654,78.78,308155.3051580747
Memory-Constrained Search,2,59,92217,75.88,313441.42944577977
Memory-Constrained Search,2,60,93780,82.01,317796.30616572744
Memory-Constrained Search,2,61,95343,80.5,323142.51238404214
Memory-Constrained Search,2,62,96906,78.98,329466.6990600919
Memory-Constrained Search,2,63,98469,78.98,333201.8698121236
Memory-Constrained Search,2,64,100032,78.12,340041.2653485927
Memory-Constrained Search,2,65,101595,83.96,345829.0856179578
Memory-Constrained Search,2,66,103158,81.66,350929.5369155081
Memory-Constrained Search,2,67,104721,82.19,355228.41420763184
Memory-Constrained Search,2,68,106284,84.33,359424.8589477637
Memory-Constrained Search,2,69,107847,83.66,364994.7487281366
Memory-Constrained Search,2,70,109410,82.72,369748.4264959894
Memory-Constrained Search,2,71,110973,83.73,374578.3691769169
Memory-Constrained Search,2,72,112536,84.27,379692.4428533359
Memory-Constrained Search,2,73,114099,85.39,384969.33449270885
Memory-Constrained Search,2,74,115662,85.74,391080.7129531487
Memory-Constrained Search,2,75,117225,85.9,396976.2911247419
Memory-Constrained Search,2,76,118788,86.91,401729.5743122593
Memory-Constrained Search,2,77,120351,86.2,407332.8078292455
Memory-Constrained Search,2,78,121914,86.85,411815.9499496861
Memory-Constrained Search,2,79,123477,88.62,416287.9845275636
Memory-Constrained Search,2,80,125040,88.5,420016.54095659376
Memory-Constrained Search,2,81,126603,88.89,424693.0193318225
Memory-Constrained Search,2,82,128166,89.01,429077.21742753545
Memory-Constrained Search,2,83,129729,89.99,435003.59381202044
Memory-Constrained Search,2,84,131292,90.24,441165.5332221669
PPO,2,1,1563,25.48,5747.730090607783
PPO,2,2,3126,36.82,11937.981068198038
PPO,2,3,4689,45.76,18422.52914372583
PPO,2,4,6252,48.15,24748.270796155997
PPO,2,5,7815,49.89,31399.391481985338
PPO,2,6,9378,47.29,36517.55706235805
PPO,2,7,10941,51.79,40956.75237001018
PPO,2,8,12504,59.89,46785.581845636094
PPO,2,9,14067,59.16,52159.185867391265
PPO,2,10,15630,63.53,55481.79965585557
PPO,2,11,17193,54.32,61068.57620091776
PPO,2,12,18756,63.89,65241.83989687309
PPO,2,13,20319,62.93,71140.28882810094
PPO,2,14,21882,62.57,76877.42067448398
PPO,2,15,23445,64.63,81705.23187218599
PPO,2,16,25008,66.63,85878.85971143421
PPO,2,17,26571,59.37,92434.0858425189
PPO,2,18,28134,60.73,97929.04173526318
PPO,2,19,29697,73.38,102639.04719182105
PPO,2,20,31260,69.01,109030.77224057795
PPO,2,21,32823,66.46,115497.0332790252
PPO,2,22,34386,68.19,120545.2479523515
PPO,2,23,35949,66.27,126934.23543585408
PPO,2,24,37512,65.36,131883.7790702551
PPO,2,25,39075,69.49,137790.6484779522
PPO,2,26,40638,71.06,143417.84644459104
PPO,2,27,42201,69.77,148098.59372471017
PPO,2,28,43764,74.39,153225.19629876048
PPO,2,29,45327,70.35,157655.93394420462
PPO,2,30,46890,66.39,163404.34555636492
PPO,2,31,48453,67.93,167727.52904464706
PPO,2,32,50016,76.78,173333.28688148654
PPO,2,33,51579,68.07,179044.27287781273
PPO,2,34,53142,73.56,183450.92499594507
PPO,2,35,54705,73.1,189135.02581050477
PPO,2,36,56268,69.91,192791.20694946047
PPO,2,37,57831,75.49,196861.33227943227
PPO,2,38,59394,73.93,201341.89716065512
PPO,2,39,60957,64.06,207851.44024255968
PPO,2,40,62520,70.38,213589.82997191962
PPO,2,41,64083,75.56,218620.51991663285
PPO,2,42,65646,70.6,222781.29726629247
PPO,2,43,67209,75.15,227696.66892440958
PPO,2,44,68772,72.86,234774.64323023643
PPO,2,45,70335,74.34,240132.3436364857
PPO,2,46,71898,77.65,244727.19675226635
PPO,2,47,73461,76.32,249595.55211698168
PPO,2,48,75024,76.61,254761.53209051842
PPO,2,49,76587,72.09,261279.45924258736
PPO,2,50,78150,73.53,266040.42318381707
PPO,2,51,79713,77.81,270668.83447408315
PPO,2,52,81276,78.9,276484.7456305647
PPO,2,53,82839,73.03,282230.156327179
PPO,2,54,84402,78.49,287372.9102467058
PPO,2,55,85965,69.47,292895.5574331276
PPO,2,56,87528,78.52,298501.3913609473
PPO,2,57,89091,78.26,303978.5510911803
PPO,2,58,90654,78.78,308140.64193905063
PPO,2,59,92217,75.88,313426.57866276335
PPO,2,60,93780,82.01,317781.55456572294
PPO,2,61,95343,80.5,323127.8644042883
PPO,2,62,96906,78.98,329452.26788659644
PPO,2,63,98469,78.98,333187.0604317193
PPO,2,64,100032,78.12,340026.9558381036
PPO,2,65,101595,83.96,345814.7241546635
PPO,2,66,103158,81.66,350915.32758909423
PPO,2,67,104721,82.19,355213.8639524316
PPO,2,68,106284,84.33,359410.0430649168
PPO,2,69,107847,83.66,364979.8480143815
PPO,2,70,109410,82.72,369733.280010174
PPO,2,71,110973,83.73,374563.0449613429
PPO,2,72,112536,84.27,379676.6385290764
PPO,2,73,114099,85.39,384953.1215211514
PPO,2,74,115662,85.74,391064.09217215935
PPO,2,75,117225,85.9,396959.1187459636
PPO,2,76,118788,86.91,401711.90354138496
PPO,2,77,120351,86.2,407314.88846143533
PPO,2,78,121914,86.85,411797.8781668236
PPO,2,79,123477,88.62,416269.53588429984
PPO,2,80,125040,88.5,419997.6738551603
PPO,2,81,126603,88.89,424673.8461443271
PPO,2,82,128166,89.01,429057.92685923085
PPO,2,83,129729,89.99,434984.4306877523
PPO,2,84,131292,90.24,441145.7891514948
Delay-only Search,3,1,1563,31.25,6964.609573358116
Delay-only Search,3,2,3126,36.16,14192.263109436153
Delay-only Search,3,3,4689,48.16,20418.681331399952
Delay-only Search,3,4,6252,49.68,27012.691163009928
Delay-only Search,3,5,7815,57.69,34810.96654713575
Delay-only Search,3,6,9378,67.17,42683.89680130043
Delay-only Search,3,7,10941,62.41,48562.446205162
Delay-only Search,3,8,12504,66.97,55920.802609460705
Delay-only Search,3,9,14067,55.84,64082.02915227029
Delay-only Search,3,10,15630,66.79,71485.9866460839
Delay-only Search,3,11,17193,56.94,78711.68457638635
Delay-only Search,3,12,18756,67.84,84788.54128201182
Delay-only Search,3,13,20319,64.02,91363.26680908776
Delay-only Search,3,14,21882,69.9,98596.09872533899
Delay-only Search,3,15,23445,64.09,104805.89603918699
Delay-only Search,3,16,25008,67.32,112661.34687345172
Delay-only Search,3,17,26571,65.93,118925.65371408561
Delay-only Search,3,18,28134,69.84,126922.99780340528
Delay-only Search,3,19,29697,65.25,133694.46379174571
Delay-only Search,3,20,31260,69.91,141390.4137109886
Delay-only Search,3,21,32823,67.51,149193.0775889774
Delay-only Search,3,22,34386,72.57,157506.8353716806
Delay-only Search,3,23,35949,69.67,164861.36519541408
Delay-only Search,3,24,37512,60.09,170457.79356214494
Delay-only Search,3,25,39075,70.76,179676.37431862383
Delay-only Search,3,26,40638,73.17,187158.57627157876
Delay-only Search,3,27,42201,66.65,194413.53672960456
Delay-only Search,3,28,43764,64.09,202170.7080948217
